id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 4 giờ để khắc phục và 15 phút để phản hồi ban đầu kể từ khi ticket được tạo [1].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,"The answer accurately reflects the SLA for ticket P1, stating the initial response time of 15 minutes and the resolution time of 4 hours, which are both directly supported by the provided context.",5,Answers the question directly and fully.,5,Retrieved: 1/1 expected sources,5,Covers all key points.,baseline_dense
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,The answer accurately reflects the information provided in the context about the timeframe for requesting a refund.,5,Answers the question directly and fully.,5,Retrieved: 1/1 expected sources,5,Covers all key points.,baseline_dense
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần phê duyệt của Line Manager, IT Admin và IT Security [1].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,"The answer accurately reflects the requirements for granting Level 3 access, which includes the necessary approvals from Line Manager, IT Admin, and IT Security as stated in the provided context.",5,Answers the question directly and fully by specifying the required approvals.,5,Retrieved: 1/1 expected sources,5,Covers all key points.,baseline_dense
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm kỹ thuật số không được hoàn tiền, trừ khi có lỗi do nhà sản xuất và đáp ứng các điều kiện khác [1].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",4,"The answer accurately states that digital products are not refundable unless there is a manufacturer defect and other conditions are met, but it does not mention the specific time frame for requesting a refund.",4,Answers correctly but misses minor details about specific conditions for refunds.,5,Retrieved: 1/1 expected sources,4,"The model answer correctly states that digital products are generally non-refundable and mentions exceptions for manufacturer errors, but it lacks the specific mention of the types of digital products (license key, subscription) that are explicitly stated in the expected answer.",baseline_dense
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,"Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. Để mở khóa, bạn cần liên hệ IT Helpdesk hoặc tự reset qua portal SSO [1].",Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,The answer accurately reflects the information provided in the context regarding account lockout after 5 failed login attempts and the options for unlocking the account.,5,Answers the question directly and fully.,5,Retrieved: 1/1 expected sources,4,"The model answer includes additional information about unlocking the account, which is a minor detail not present in the expected answer.",baseline_dense
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Escalation trong sự cố P1 diễn ra như sau:

1. On-call engineer nhận alert hoặc ticket và xác nhận severity trong 5 phút.
2. Nếu không có phản hồi trong 10 phút, ticket sẽ tự động escalate lên Senior Engineer.
3. Lead Engineer phân công engineer xử lý trong 10 phút.
4. Engineer cập nhật tiến độ lên ticket mỗi 30 phút và nếu cần hỗ trợ thêm, sẽ escalate ngay.

Quy trình này đảm bảo rằng sự cố P1 được xử lý kịp thời và hiệu quả [2][3].",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,"The answer accurately reflects the escalation process for P1 incidents as described in the provided context, including the timing for response, escalation, and updates.",5,"The answer directly and fully explains the escalation process for a P1 incident, detailing each step involved.",5,Retrieved: 1/1 expected sources,4,"The model answer provides a detailed escalation process for P1 incidents, including the roles of the on-call engineer, Senior Engineer, and Lead Engineer, but it could be considered slightly more detailed than the expected answer, which focuses primarily on the automatic escalation to the Senior Engineer after 10 minutes without response.",baseline_dense
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,"Approval Matrix để cấp quyền hệ thống là tài liệu quy định quy trình cấp phép truy cập vào các hệ thống nội bộ của công ty, áp dụng cho tất cả nhân viên, contractor, và third-party vendor [1].",Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,5,"The answer accurately reflects the content of the retrieved chunks, summarizing the approval matrix and its applicability to employees, contractors, and third-party vendors.",5,The answer directly addresses the question by explaining what an Approval Matrix is and its purpose in granting access rights within a company.,5,Retrieved: 1/1 expected sources,2,"The model answer provides a general description of the Approval Matrix but does not mention the current name change to 'Access Control SOP' or the specific document title, which are key points in the expected answer.",baseline_dense
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,"Nhân viên được làm remote tối đa 2 ngày mỗi tuần sau khi hoàn thành thời gian thử việc, và lịch remote phải được phê duyệt bởi Team Lead qua HR Portal [1].","Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,"The answer accurately reflects the information provided in the context regarding remote work conditions, including the maximum number of remote days and the requirement for Team Lead approval.",5,Answers the question directly and fully.,5,Retrieved: 1/1 expected sources,5,Covers all key points.,baseline_dense
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,"ERR-403-AUTH là lỗi liên quan đến quyền truy cập, thường xảy ra khi người dùng không có quyền hợp lệ để thực hiện hành động yêu cầu. Cách xử lý là kiểm tra và yêu cầu cấp quyền thông qua quy trình đã được mô tả, bao gồm việc tạo Access Request ticket trên Jira và chờ phê duyệt từ Line Manager [1].","Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",5,"The answer accurately describes the ERR-403-AUTH error as related to access rights and correctly references the process for requesting access through Jira, which is consistent with the provided context.",5,"The answer directly addresses the ERR-403-AUTH error, explains its meaning related to access rights, and provides a clear method for resolution.",,No expected sources,3,"The model answer provides a definition of the ERR-403-AUTH error and a method for handling it, but it does not acknowledge the lack of information in existing documentation or suggest contacting IT Helpdesk, which are important points in the expected answer.",baseline_dense
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?",Không có thông tin nào trong bối cảnh đề cập đến quy trình hoàn tiền khẩn cấp cho khách hàng VIP. Tôi không biết.,"Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",1,"The answer states that there is no information about an emergency refund process for VIP customers, which is not mentioned in the provided context. The context only discusses the general refund process without any mention of VIP customers or emergency procedures.",2,The answer does not address the question about the process for urgent refunds for VIP customers and lacks relevant information.,5,Retrieved: 1/1 expected sources,2,"The model answer does not address the lack of a special process for VIP customers and fails to mention the standard refund timeline of 3-5 business days, missing key points from the expected answer.",baseline_dense
q01,SLA,SLA xử lý ticket P1 là bao lâu?,"ERROR: Error code: 400 - {'error': {'message': ""We could not parse the JSON body of your request. (HINT: This likely means you aren't using your HTTP library correctly. The OpenAI API expects a JSON payload, but what was sent was not valid JSON. If you have trouble figuring out how to fix this, please contact us through our help center at help.openai.com.)"", 'type': 'invalid_request_error', 'param': None, 'code': None}}",Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,"No chunks used or abstained, assumed completely faithful.",1,The answer does not address the question about the SLA for handling P1 tickets and instead provides an error message related to a JSON parsing issue.,0,Retrieved: 0/1 expected sources. Missing: ['support/sla-p1-2026.pdf'],1,The model answer does not address the question about the SLA for P1 tickets at all and instead returns an error message.,baseline_dense
q02,SLA,Nếu ticket P1 không có phản hồi trong 10 phút thì hệ thống xử lý thế nào?,"Nếu ticket P1 không có phản hồi trong 10 phút, hệ thống sẽ tự động escalate lên Senior Engineer [1].",Ticket P1 sẽ tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút.,5,The statement accurately reflects the escalation process for ticket P1 as described in the provided context.,5,Answers the question directly and fully.,5,Retrieved: 1/1 expected sources,5,Covers all key points.,baseline_dense
q03,SLA,"Sau khi xử lý xong sự cố P1, phải viết incident report trong bao lâu?","Sau khi khắc phục sự cố P1, phải viết incident report trong vòng 24 giờ [1].","Sau khi khắc phục xong, phải viết incident report trong vòng 24 giờ.",5,"The statement accurately reflects the requirement to write an incident report within 24 hours after resolving a P1 incident, as stated in the provided context.",5,Answers the question directly and fully.,5,Retrieved: 1/1 expected sources,5,Covers all key points.,baseline_dense
q04,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày làm việc kể từ lúc xác nhận đơn hàng?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,The answer accurately reflects the information provided in the context about the timeframe for requesting a refund.,5,Answers the question directly and fully.,5,Retrieved: 1/1 expected sources,5,Covers all key points.,baseline_dense
q05,Refund,Sản phẩm license key hoặc subscription có được hoàn tiền không?,"Sản phẩm license key hoặc subscription không được hoàn tiền theo chính sách, vì thuộc danh mục hàng kỹ thuật số [1].",Không. Sản phẩm thuộc danh mục hàng kỹ thuật số như license key và subscription là ngoại lệ không được hoàn tiền.,5,"The answer accurately reflects the provided context regarding the refund policy for digital products, specifically stating that license keys and subscriptions are non-refundable.",5,Answers the question directly and fully by stating that license keys or subscriptions are non-refundable according to the policy.,5,Retrieved: 1/1 expected sources,5,Covers all key points.,baseline_dense
q06,Refund,Đơn hàng đã áp dụng Flash Sale có được hoàn tiền không?,Đơn hàng đã áp dụng mã giảm giá đặc biệt theo chương trình khuyến mãi Flash Sale sẽ không được hoàn tiền [1].,Không. Đơn hàng đã áp dụng mã giảm giá đặc biệt theo chương trình khuyến mãi Flash Sale là ngoại lệ không được hoàn tiền.,5,The answer accurately reflects the information provided in the retrieved chunks regarding the refund policy for orders that have applied special discount codes during Flash Sale promotions.,5,"The answer directly addresses the question about whether orders with Flash Sale discounts can be refunded, stating that they cannot be refunded.",5,Retrieved: 1/1 expected sources,4,"The model answer conveys the main point that orders with Flash Sale discounts are not refundable, but it lacks the explicit 'No' at the beginning and does not clearly state that this is an exception.",baseline_dense
q07,Refund,Đơn hàng đặt trước ngày 01/02/2026 sẽ theo chính sách nào?,Đơn hàng đặt trước ngày 01/02/2026 sẽ áp dụng theo chính sách hoàn tiền phiên bản 3 [1].,Đơn hàng đặt trước ngày có hiệu lực sẽ áp dụng theo chính sách hoàn tiền phiên bản 3.,5,The answer accurately reflects the information provided in the context regarding the application of the refund policy for orders placed before 01/02/2026.,5,Answers the question directly and fully.,5,Retrieved: 1/1 expected sources,4,"The model answer correctly identifies the policy that applies to orders placed before the specified date, but it does not explicitly mention that the date is the effective date, which is a minor detail in the expected answer.",baseline_dense
q08,Access Control,Approval Matrix for System Access là tài liệu nào hiện nay?,"Approval Matrix for System Access là tài liệu quy định quy trình cấp phép truy cập vào các hệ thống nội bộ của công ty, áp dụng cho tất cả nhân viên, contractor, và third-party vendor [2].","Tài liệu này hiện có tên mới là Access Control SOP, với source là it/access-control-sop.md.",5,"The answer accurately reflects the content of the provided chunks, specifically mentioning the approval matrix for system access and its applicability to all employees, contractors, and third-party vendors.",5,"The answer directly and fully explains what the Approval Matrix for System Access is, including its purpose and who it applies to.",5,Retrieved: 1/1 expected sources,2,"The model answer does not mention the new name 'Access Control SOP' and the specific source 'it/access-control-sop.md', which are key points in the expected answer.",baseline_dense
q09,Access Control,Nhân viên phải tạo access request ticket ở đâu và bước nào có IT Security review?,"Nhân viên phải tạo access request ticket trên Jira (project IT-ACCESS). Bước có IT Security review là Bước 4, nơi IT Security thực hiện review với Level 3 và Level 4 [1].",Nhân viên tạo Access Request ticket trên Jira project IT-ACCESS. IT Security review ở bước 4 đối với Level 3 và Level 4.,5,"The answer accurately reflects the process of creating an access request ticket on Jira and correctly identifies the step where IT Security conducts the review for Level 3 and Level 4 access, as stated in the provided context.",5,"Answers the question directly and fully, providing specific details about where to create the access request ticket and identifying the step with IT Security review.",5,Retrieved: 1/1 expected sources,5,Covers all key points.,baseline_dense
q10,Access Control,Level 1 đến Level 4 cần ai phê duyệt và mất bao lâu?,Level 1 cần phê duyệt bởi Line Manager và mất 1 ngày làm việc. Level 2 cần phê duyệt bởi Line Manager + IT Admin và mất 2 ngày làm việc. Level 3 cần phê duyệt bởi Line Manager + IT Admin + IT Security và mất 3 ngày làm việc. Level 4 cần phê duyệt bởi IT Manager + CISO và mất 5 ngày làm việc [1].,"Level 1 cần Line Manager và mất 1 ngày làm việc. Level 2 cần Line Manager + IT Admin và mất 2 ngày làm việc. Level 3 cần Line Manager + IT Admin + IT Security và mất 3 ngày làm việc. Level 4 cần IT Manager + CISO và mất 5 ngày làm việc, kèm training bắt buộc về security policy.",5,The answer accurately reflects the approval requirements and processing times for each access level as provided in the context.,5,"Answers the question directly and fully, providing details on who needs to approve each level and the time required for approval.",5,Retrieved: 1/1 expected sources,4,The model answer covers all the approval levels and timeframes but misses the detail about mandatory training on security policy for Level 4.,baseline_dense
q11,Access Control,"Khi có sự cố P1, quyền tạm thời tối đa được cấp bao lâu, cần ai phê duyệt, và có phải log không?","Khi có sự cố P1, quyền tạm thời tối đa được cấp là 24 giờ, cần được Tech Lead phê duyệt bằng lời, và mọi quyền tạm thời phải được ghi log vào hệ thống Security Audit [1].","On-call IT Admin có thể cấp quyền tạm thời tối đa 24 giờ sau khi được Tech Lead phê duyệt bằng lời, và mọi quyền tạm thời phải được ghi log vào hệ thống Security Audit.",5,"The answer accurately reflects the information provided in the context regarding the escalation process during a P1 incident, including the maximum duration for temporary access, the requirement for Tech Lead approval, and the logging of temporary permissions.",5,"Answers the question directly and fully, providing details on the duration, approval authority, and logging requirements.",5,Retrieved: 1/1 expected sources,4,The model answer covers all key points but does not specify that the On-call IT Admin is the one who can grant the temporary access.,baseline_dense
q12,Access Control,"Quyền truy cập bị thu hồi trong các trường hợp nghỉ việc, hết hạn contract, và chuyển bộ phận như thế nào?","Quyền truy cập bị thu hồi trong các trường hợp như sau:
- Nhân viên nghỉ việc: Thu hồi ngay trong ngày cuối.
- Hết hạn contract: Thu hồi đúng ngày hết hạn.
- Chuyển bộ phận: Điều chỉnh trong 3 ngày làm việc [1].",Nghỉ việc: thu hồi ngay trong ngày cuối. Hết hạn contract: thu hồi đúng ngày hết hạn. Chuyển bộ phận: điều chỉnh trong 3 ngày làm việc.,5,The answer accurately reflects the information provided in the retrieved chunks regarding the circumstances under which access rights are revoked.,5,Answers the question directly and fully.,5,Retrieved: 1/1 expected sources,5,Covers all key points.,baseline_dense
q13,Access Control,IT Security review access mỗi bao lâu một lần và bất thường phải báo trong bao lâu?,IT Security thực hiện access review mỗi 6 tháng. Mọi bất thường phải được báo cáo lên CISO trong vòng 24 giờ [1].,"IT Security thực hiện access review mỗi 6 tháng, và mọi bất thường phải được báo cáo lên CISO trong vòng 24 giờ.",5,"The answer is completely grounded in the provided context, accurately reflecting the information about IT Security's access review process and the reporting of abnormalities.",5,Answers the question directly and fully.,5,Retrieved: 1/1 expected sources,5,Covers all key points.,baseline_dense
q14,HR Policy,Nhân viên có 4 năm kinh nghiệm được bao nhiêu ngày annual leave và được carry over tối đa bao nhiêu ngày?,Nhân viên có 4 năm kinh nghiệm được 15 ngày annual leave và có thể carry over tối đa 5 ngày sang năm tiếp theo [1].,"Nhân viên từ 3-5 năm kinh nghiệm được 15 ngày annual leave mỗi năm, và có thể chuyển tối đa 5 ngày phép chưa dùng sang năm tiếp theo.",5,"The answer accurately reflects the information provided in the context regarding annual leave for an employee with 4 years of experience, stating they receive 15 days and can carry over a maximum of 5 days to the next year.",5,Answers the question directly and fully.,5,Retrieved: 1/1 expected sources,4,"The model answer covers the main points about the annual leave and carry over days, but it lacks the detail that the 15 days of annual leave applies specifically to employees with 3-5 years of experience.",baseline_dense
q15,HR Policy,"Nghỉ ốm được trả lương bao nhiêu ngày, phải báo trước lúc nào, và nếu nghỉ trên 3 ngày liên tiếp thì cần gì?","Nghỉ ốm được trả lương 10 ngày/năm. Nhân viên phải thông báo cho Line Manager trước 9:00 sáng ngày nghỉ. Nếu nghỉ trên 3 ngày liên tiếp, cần có giấy tờ y tế từ bệnh viện [1].",Nghỉ ốm được trả lương 10 ngày/năm. Phải báo cho Line Manager trước 9:00 sáng ngày nghỉ. Nếu nghỉ trên 3 ngày liên tiếp thì cần giấy tờ y tế từ bệnh viện.,5,"The answer accurately reflects the information provided about sick leave, including the number of paid sick leave days, the requirement to notify the Line Manager, and the need for medical documentation if the leave exceeds three consecutive days.",5,"Answers the question directly and fully, providing details on the number of paid sick days, notification requirements, and the need for medical documentation for absences over three days.",5,Retrieved: 1/1 expected sources,5,Covers all key points.,baseline_dense
q16,HR Policy,"Nhân viên sau probation có thể làm remote tối đa bao nhiêu ngày/tuần, onsite bắt buộc ngày nào, và có yêu cầu gì khi remote?",Nhân viên sau probation có thể làm remote tối đa 2 ngày/tuần. Ngày onsite bắt buộc là Thứ 3 và Thứ 5. Yêu cầu khi remote bao gồm kết nối VPN bắt buộc và bật camera trong các cuộc họp team [1].,Nhân viên sau probation có thể làm remote tối đa 2 ngày mỗi tuần. Ngày onsite bắt buộc là Thứ 3 và Thứ 5. Khi remote phải bật VPN và bật camera trong các cuộc họp team.,5,"The answer accurately reflects the conditions for remote work, including the maximum number of remote days, mandatory onsite days, and technical requirements for remote work as stated in the provided context.",5,Answers the question directly and fully.,5,Retrieved: 1/1 expected sources,5,Covers all key points.,baseline_dense
q17,HR Policy,"Làm thêm giờ phải được phê duyệt như thế nào và hệ số lương ngày thường, cuối tuần, ngày lễ là bao nhiêu?","Làm thêm giờ phải được Line Manager phê duyệt trước bằng văn bản. Hệ số lương cho làm thêm giờ là: 
- Ngày thường: 150% lương giờ tiêu chuẩn.
- Ngày cuối tuần: 200% lương giờ tiêu chuẩn.
- Ngày lễ: 300% lương giờ tiêu chuẩn [1].","Làm thêm giờ phải được Line Manager phê duyệt trước bằng văn bản. Hệ số lương là 150% vào ngày thường, 200% vào ngày cuối tuần, và 300% vào ngày lễ.",5,The answer accurately reflects the provided context regarding overtime approval and pay rates for different days.,5,"Answers the question directly and fully, providing details on approval process and specific pay rates for overtime.",5,Retrieved: 1/1 expected sources,5,Covers all key points.,baseline_dense
q18,IT Helpdesk,"Quên mật khẩu thì làm gì, và tài khoản bị khóa sau bao nhiêu lần đăng nhập sai liên tiếp?","Nếu quên mật khẩu, bạn cần truy cập https://sso.company.internal/reset hoặc liên hệ Helpdesk qua ext. 9000 để nhận mật khẩu mới qua email công ty trong vòng 5 phút. Tài khoản sẽ bị khóa sau 5 lần đăng nhập sai liên tiếp, và để mở khóa, bạn có thể liên hệ IT Helpdesk hoặc tự reset qua portal SSO [1].",Có thể truy cập trang reset SSO hoặc liên hệ Helpdesk qua ext. 9000. Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,The answer accurately reflects the information provided in the retrieved chunks regarding password reset procedures and account lockout policies.,5,"Answers the question directly and fully, providing clear instructions for both resetting the password and information about account lockout.",5,Retrieved: 1/1 expected sources,5,Covers all key points.,baseline_dense
